issue_id,title,start,end,total_reactions,total_comments,new_reactions,new_comments,issue_url
flutter/flutter#49757,"Desktop app frame rate isn't synced to display",2024-01-24,2024-02-20,76,20,1,0,https://github.com/flutter/flutter/issues/49757
flutter/flutter#41710,"[camera] Add Linux support",2024-01-24,2024-02-20,62,16,1,0,https://github.com/flutter/flutter/issues/41710
flutter/flutter#31728,"Expanded hitTest area",2024-01-24,2024-02-20,60,25,1,1,https://github.com/flutter/flutter/issues/31728
flutter/flutter#41731,"[google_maps_flutter] Performance drop when loading markers from bytes",2024-01-24,2024-02-20,55,40,1,0,https://github.com/flutter/flutter/issues/41731
flutter/flutter#32115,"Allow to set the logical pixel size programmatically ",2024-01-24,2024-02-20,49,44,1,0,https://github.com/flutter/flutter/issues/32115
flutter/flutter#70010,"Suggestion: Ability to check if asset exists without loading",2024-01-24,2024-02-20,48,7,1,0,https://github.com/flutter/flutter/issues/70010
flutter/flutter#70836,"[proposal] Z-index in Stack widget",2024-01-24,2024-02-20,46,15,1,0,https://github.com/flutter/flutter/issues/70836
flutter/flutter#106612,"Support `flutter build ipa` with manual signing and provisioning profiles",2024-01-24,2024-02-20,44,27,1,0,https://github.com/flutter/flutter/issues/106612
flutter/flutter#78247,"Low Resolution in Camera Image Stream, ResolutionPreset Constructor Parameter is ignored",2024-01-24,2024-02-20,42,12,1,0,https://github.com/flutter/flutter/issues/78247
flutter/flutter#99105,"[go_router] Support deferred libraries",2024-01-24,2024-02-20,39,13,1,1,https://github.com/flutter/flutter/issues/99105
flutter/flutter#66537,"Middle Mouse Button Scrolling",2024-01-24,2024-02-20,39,9,1,0,https://github.com/flutter/flutter/issues/66537
flutter/flutter#14488,"Get dimensions of widget after layout without render ",2024-01-24,2024-02-20,38,42,1,0,https://github.com/flutter/flutter/issues/14488
flutter/flutter#58854,"[video_player] Can't  Change HSL Video Quilty",2024-01-24,2024-02-20,35,17,1,0,https://github.com/flutter/flutter/issues/58854
flutter/flutter#113282,"[go_router] Add default pageBuilder to GoRouter",2024-01-24,2024-02-20,34,6,1,0,https://github.com/flutter/flutter/issues/113282
flutter/flutter#112267,"[go_router] Add support for the TabView for more beautiful animation",2024-01-24,2024-02-20,31,7,1,0,https://github.com/flutter/flutter/issues/112267
flutter/flutter#44937,"Allow using dart:indexed_db in flutter apps",2024-01-24,2024-02-20,28,13,1,1,https://github.com/flutter/flutter/issues/44937
flutter/flutter#85772,"image_picker add picture limit to getMultiImage",2024-01-24,2024-02-20,26,17,1,0,https://github.com/flutter/flutter/issues/85772
flutter/flutter#24843,"How to pin keyboard when Popupmenu appears",2024-01-24,2024-02-20,25,14,1,0,https://github.com/flutter/flutter/issues/24843
flutter/flutter#127209,"Add docs for go_router StatefulShellRoute",2024-01-24,2024-02-20,21,0,1,0,https://github.com/flutter/flutter/issues/127209
flutter/flutter#98773,"[Android] Document fix for warning ""native debug symbols are missing in appbundle"" when uploading app to playconsole",2024-01-24,2024-02-20,17,14,1,5,https://github.com/flutter/flutter/issues/98773
flutter/flutter#80578,"[google_maps_flutter_web] Markers anchor and rotation have no effect",2024-01-24,2024-02-20,16,19,1,0,https://github.com/flutter/flutter/issues/80578
flutter/flutter#66127,"Implement auto-completion for zsh, bash, and PowerShell for the flutter tool",2024-01-24,2024-02-20,16,4,1,0,https://github.com/flutter/flutter/issues/66127
flutter/flutter#44570,"Dialog maxWidth is not configurable",2024-01-24,2024-02-20,16,2,1,0,https://github.com/flutter/flutter/issues/44570
flutter/flutter#110781,"[go_router_builder] Custom type conversion for parameters",2024-01-24,2024-02-20,14,2,1,0,https://github.com/flutter/flutter/issues/110781
flutter/flutter#20220,"Text/TextSpan superscript on top (like HTML ruby tag) for phonetic pronunciations",2024-01-24,2024-02-20,14,2,1,0,https://github.com/flutter/flutter/issues/20220
flutter/flutter#67282,"TextField TextInputType ""name"" overrides TextCapitalization ""words""",2024-01-24,2024-02-20,13,8,1,0,https://github.com/flutter/flutter/issues/67282
flutter/flutter#107996,"[go_router] Use of `UrlPathStrategy.path` cause `404 Not Found` HTTP status on browser refresh action because the current location is requested from server but it is not really exist",2024-02-12,2024-02-20,16,40,1,0,https://github.com/flutter/flutter/issues/107996
flutter/flutter#26801,"Apple CarPlay / Android Auto support?",2024-01-24,2024-02-20,475,50,1,0,https://github.com/flutter/flutter/issues/26801
flutter/flutter#21594,"Table > TableRow > TableCell colspan",2024-01-24,2024-02-20,243,41,1,1,https://github.com/flutter/flutter/issues/21594
flutter/flutter#59430,"Support XDG Base Directory Specfication",2024-01-24,2024-02-20,71,6,1,0,https://github.com/flutter/flutter/issues/59430
flutter/flutter#25652,"Scrollbar resizing and jumping",2024-01-24,2024-02-20,61,50,1,0,https://github.com/flutter/flutter/issues/25652
flutter/flutter#76478,"[web]: No back/forward gesture support on iOS and MacOS browsers",2024-01-24,2024-02-20,36,14,1,1,https://github.com/flutter/flutter/issues/76478
flutter/flutter#65006,"[InteractiveViewer] ListView in InteractiveViewer doesn't zoom sometimes",2024-01-24,2024-02-20,34,22,1,0,https://github.com/flutter/flutter/issues/65006
flutter/flutter#64768,"Add a Split widget",2024-01-24,2024-02-20,32,13,1,0,https://github.com/flutter/flutter/issues/64768
flutter/flutter#130658,"`'earliestUsefulChild != null': is not true` is thrown if we set the previous laid out children to `null` in `ListView.builder`",2024-01-24,2024-02-20,30,4,1,0,https://github.com/flutter/flutter/issues/130658
flutter/flutter#107972,"A KeyRepeatEvent is dispatched, but the state shows that the physical key is not pressed",2024-01-24,2024-02-20,29,55,1,0,https://github.com/flutter/flutter/issues/107972
flutter/flutter#117382,"Canvas instrumentation (recording)",2024-01-24,2024-02-20,28,6,1,0,https://github.com/flutter/flutter/issues/117382
flutter/flutter#41156,"[video_player] black (first?) frame on iOS",2024-01-24,2024-02-20,28,35,1,0,https://github.com/flutter/flutter/issues/41156
flutter/flutter#23603,"Flutter should be able to interact with host clipboard for rich content",2024-01-24,2024-02-20,108,9,1,1,https://github.com/flutter/flutter/issues/23603
flutter/flutter#40740,"NestedScrollView's use of PrimaryScrollController breaks when there are multiple inner ScrollPositions",2024-01-24,2024-02-20,101,66,1,1,https://github.com/flutter/flutter/issues/40740
flutter/flutter#107157,"[Proposal]Allow multiple arb files to organize l10n / intl localizations for a language",2024-01-24,2024-02-20,75,14,1,2,https://github.com/flutter/flutter/issues/107157
flutter/flutter#40504,"Add support for external storage(Sd Card, USB Storage etc) in flutter.",2024-01-24,2024-02-20,75,27,1,1,https://github.com/flutter/flutter/issues/40504
flutter/flutter#49482,"Finished with error: Failed to establish connection with the application instance in Chrome.",2024-01-24,2024-02-20,55,97,1,0,https://github.com/flutter/flutter/issues/49482
flutter/flutter#86636,"Support weight/boldness configuration of an Icon",2024-01-24,2024-02-20,45,9,1,0,https://github.com/flutter/flutter/issues/86636
flutter/flutter#37510,"Provide a disableSwipe to PageView",2024-01-24,2024-02-20,45,22,1,0,https://github.com/flutter/flutter/issues/37510
flutter/flutter#50946,"Make ListView scrollable within PageView ",2024-01-24,2024-02-20,40,35,1,0,https://github.com/flutter/flutter/issues/50946
flutter/flutter#64685,"[image_picker][android] PickedFile should store the original file name. ",2024-01-24,2024-02-20,35,17,1,0,https://github.com/flutter/flutter/issues/64685
flutter/flutter#97544,"SliverWrap widget",2024-01-24,2024-02-20,31,4,1,0,https://github.com/flutter/flutter/issues/97544
flutter/flutter#61246,"[flutter_tools] IDE plugin validators should be deprecated",2024-01-24,2024-02-20,28,6,1,0,https://github.com/flutter/flutter/issues/61246
flutter/flutter#93238,"Gradle Kotlin DSL support.",2024-01-24,2024-02-20,27,13,1,0,https://github.com/flutter/flutter/issues/93238
flutter/flutter#32954,"Vertical `Dismissible` does not dismiss `SingleChildScrollView` (nor` ListView`)",2024-01-24,2024-02-20,26,15,1,0,https://github.com/flutter/flutter/issues/32954
flutter/flutter#99050,"[Windows] On screen keyboard pops up abnormally on touch screen tablets",2024-01-24,2024-02-20,25,36,1,1,https://github.com/flutter/flutter/issues/99050
flutter/flutter#91772,"☂️ Material Theme System Updates",2024-01-24,2024-02-20,23,18,1,3,https://github.com/flutter/flutter/issues/91772
flutter/flutter#72625,"Add the native keyboard actions bar such as the up/down/done buttons in iOS",2024-01-24,2024-02-20,23,0,1,0,https://github.com/flutter/flutter/issues/72625
flutter/flutter#15741,"DateFormat Crash - Locale data has not been initialized, call initializeDateFormatting(<locale>)",2024-01-24,2024-02-20,21,26,1,0,https://github.com/flutter/flutter/issues/15741
flutter/flutter#129523,"Navigator can't be used inside scrollable content.",2024-01-24,2024-02-20,20,7,1,1,https://github.com/flutter/flutter/issues/129523
flutter/flutter#104547,"[Selection] Reimplement SelectableText with SelectionArea",2024-01-24,2024-02-18,20,7,1,0,https://github.com/flutter/flutter/issues/104547
flutter/flutter#91247,"Flutter Camera plugin camera lens change",2024-01-24,2024-02-20,19,8,1,0,https://github.com/flutter/flutter/issues/91247
flutter/flutter#50455,"Failed to xcodebuild against multiple iOS devices: Build service could not start build operation: unknown error while handling message: Could not acquire lock at path `Path(str: "".../DerivedData/.../...-Workspace.lock"")`",2024-01-24,2024-02-20,19,32,1,0,https://github.com/flutter/flutter/issues/50455
flutter/flutter#99819,"[flutter_markdown] Selecting text works only paragraph by paragraph in markdown widget when text is not indented",2024-01-24,2024-02-20,17,19,1,1,https://github.com/flutter/flutter/issues/99819
flutter/flutter#22429,"Offline mode needs to be extended to all flutter commands",2024-01-24,2024-02-20,17,6,1,0,https://github.com/flutter/flutter/issues/22429
flutter/flutter#138615,"[Impeller] Janky scrolling with backdrop filter blur on 3.16.",2024-01-24,2024-02-20,14,38,1,2,https://github.com/flutter/flutter/issues/138615
flutter/flutter#78254,"[web] Customize path of index.html and/or web directory.",2024-01-24,2024-02-20,13,8,1,0,https://github.com/flutter/flutter/issues/78254
flutter/flutter#62464,"[webview_flutter]WebView can't hide scollbar",2024-01-24,2024-02-20,13,11,1,1,https://github.com/flutter/flutter/issues/62464
flutter/flutter#58367,"Enable single widget for NavigationRail destinations",2024-01-24,2024-02-20,13,3,1,0,https://github.com/flutter/flutter/issues/58367
flutter/flutter#89525,"[camera] Proposal - Add support for optical image stabilization (OIS)",2024-01-27,2024-02-20,13,6,1,1,https://github.com/flutter/flutter/issues/89525
flutter/flutter#53308,"Text on desktop Windows 10 looks rough(no antialiasing)",2024-01-24,2024-02-20,27,30,1,0,https://github.com/flutter/flutter/issues/53308
flutter/flutter#26748,"How to add custom overflow string in `Text` or `TextSpan`?",2024-01-24,2024-02-20,27,18,1,0,https://github.com/flutter/flutter/issues/26748
flutter/flutter#60750,"[ios] Initializing google map with 'n' markers takes O(n) time to add and blocks the UI during this period",2024-01-24,2024-02-20,25,18,1,0,https://github.com/flutter/flutter/issues/60750
flutter/flutter#124406,"Add a ""fast fail"" argument to `flutter test` to stop after a failure",2024-01-24,2024-02-20,24,1,1,0,https://github.com/flutter/flutter/issues/124406
flutter/flutter#129933,"[Flutter-web] Control+MouseWheel should zoom the browser window",2024-01-24,2024-02-20,23,9,1,0,https://github.com/flutter/flutter/issues/129933
flutter/flutter#88515,"Add dismissLimits to Dismissible to limit the drag extent",2024-01-24,2024-02-20,20,4,1,0,https://github.com/flutter/flutter/issues/88515
flutter/flutter#26152,"Tizen platform support",2024-01-24,2024-02-20,111,27,1,0,https://github.com/flutter/flutter/issues/26152
flutter/flutter#96283,"[Web]: Proposal to be able to build flutter web app with debug profile support",2024-01-24,2024-02-20,106,5,1,0,https://github.com/flutter/flutter/issues/96283
flutter/flutter#4719,"flutter test --coverage and flutter test --watch",2024-01-24,2024-02-20,106,11,1,0,https://github.com/flutter/flutter/issues/4719
flutter/flutter#92762,"[camera] Android  emulator camera throws `CameraAccessException: CAMERA_ERROR (3): The camera device has encountered a serious error` when taking a photo",2024-01-24,2024-02-20,54,37,1,0,https://github.com/flutter/flutter/issues/92762
flutter/flutter#67034,"Flutter Fonts are not rendering correctly, Antialiasing is doubled on desktop",2024-01-24,2024-02-20,36,21,1,0,https://github.com/flutter/flutter/issues/67034
flutter/flutter#41708,"[camera] Add macOS support",2024-01-24,2024-02-18,36,16,1,0,https://github.com/flutter/flutter/issues/41708
flutter/flutter#93404,"Safari high memory usage",2024-01-24,2024-02-20,34,9,1,0,https://github.com/flutter/flutter/issues/93404
flutter/flutter#28012,"Make FixedExtentScrollPhysics & FixedExtentScrollController usable with ordinary ListViews",2024-01-24,2024-02-20,28,9,1,0,https://github.com/flutter/flutter/issues/28012
flutter/flutter#114131,"[go_router] choose in redirect method if `push` or `go`",2024-01-24,2024-02-20,27,24,1,0,https://github.com/flutter/flutter/issues/114131
flutter/flutter#95403,"[Android]Switching between immersive and edgeToEdge system UI modes shows black status bar",2024-01-24,2024-02-20,27,14,1,0,https://github.com/flutter/flutter/issues/95403
flutter/flutter#37987,"Enable hot restart on profile mode",2024-01-24,2024-02-20,27,14,1,0,https://github.com/flutter/flutter/issues/37987
flutter/flutter#111739,"Framework tests fail only on M1 machines",2024-01-24,2024-02-20,26,21,1,0,https://github.com/flutter/flutter/issues/111739
flutter/flutter#56239,"Specifying cacheWidth / cacheHeight can degrade the image quality",2024-01-24,2024-02-20,26,16,1,0,https://github.com/flutter/flutter/issues/56239
flutter/flutter#53781,"Add option to avoid pod install during ""flutter build ios""",2024-01-24,2024-02-20,19,13,1,0,https://github.com/flutter/flutter/issues/53781
flutter/flutter#25151,"DropDownButton is not customizable",2024-01-24,2024-02-20,20,14,1,0,https://github.com/flutter/flutter/issues/25151
flutter/flutter#90373,"[Image_picker]: Image gallery opens twice if we choose select photos permission.",2024-01-24,2024-02-20,19,42,1,1,https://github.com/flutter/flutter/issues/90373
flutter/flutter#42846,"Stylus doesn't trigger PointerDownEvent",2024-01-24,2024-02-20,17,28,1,1,https://github.com/flutter/flutter/issues/42846
flutter/flutter#51267,"[google_maps_flutter] Please clarify why API KEY in source code is OK",2024-01-24,2024-02-20,16,16,1,0,https://github.com/flutter/flutter/issues/51267
