date,issue_id,title,new_reactions,new_comments,issue_url
2024-02-14,flutter/flutter#28204,"_getSemanticsForParent should cache result for smoother scrolling",0,0,https://github.com/flutter/flutter/issues/28204
2024-02-14,flutter/flutter#29130,"Gifs play faster than expected",0,0,https://github.com/flutter/flutter/issues/29130
2024-02-14,flutter/flutter#30331,"Add ability for text field TextInputAction to be dynamic",0,0,https://github.com/flutter/flutter/issues/30331
2024-02-14,flutter/flutter#30604,"Enable dart:ui APIs for text measurement in secondary isolates",0,0,https://github.com/flutter/flutter/issues/30604
2024-02-14,flutter/flutter#30736,"Support window size/placement on desktop",0,0,https://github.com/flutter/flutter/issues/30736
2024-02-14,flutter/flutter#33441,"Support interactive transitions between routes (i.e., controlled by gesture)",0,0,https://github.com/flutter/flutter/issues/33441
2024-02-14,flutter/flutter#39321,"[webview_flutter] Add a callback for unsupported content types",0,0,https://github.com/flutter/flutter/issues/39321
2024-02-14,flutter/flutter#39379,"Widgets inserted in MaterialApp Navigator Overlay don't get theme",0,0,https://github.com/flutter/flutter/issues/39379
2024-02-14,flutter/flutter#42796,"Support iOS 13 Context Menu Submenu",0,0,https://github.com/flutter/flutter/issues/42796
2024-02-14,flutter/flutter#43785,"[maps] MissingPluginException when calling methods on maps instance that has been torn down on the native side",0,0,https://github.com/flutter/flutter/issues/43785
2024-02-14,flutter/flutter#45296,"[path_provider] Add support for web",0,0,https://github.com/flutter/flutter/issues/45296
2024-02-14,flutter/flutter#47872,"Allow specifying --user-data-dir for chrome launch",0,0,https://github.com/flutter/flutter/issues/47872
2024-02-14,flutter/flutter#48225,"iOS App Freeze for ~0.5 second on Swipe Back Gesture",0,0,https://github.com/flutter/flutter/issues/48225
2024-02-14,flutter/flutter#48381,"Use a system default font on flutter",0,0,https://github.com/flutter/flutter/issues/48381
2024-02-14,flutter/flutter#49531,"Camera live filter for photo and video",0,0,https://github.com/flutter/flutter/issues/49531
2024-02-14,flutter/flutter#49883,"Document how and when to use TextPainter.setPlaceholderDimensions",0,0,https://github.com/flutter/flutter/issues/49883
2024-02-14,flutter/flutter#5064,"Material components: Ability to long-press a menu icon to open menu, follow finger",0,0,https://github.com/flutter/flutter/issues/5064
2024-02-14,flutter/flutter#50763,"Allow Hero to define it's Overlay level",0,0,https://github.com/flutter/flutter/issues/50763
2024-02-14,flutter/flutter#53040,"Way to stop PageStorageKey being shared by nested scrollables",0,0,https://github.com/flutter/flutter/issues/53040
2024-02-14,flutter/flutter#56662,"[animations] PageTransitionSwitcher doesn't work well with IndexedStack",0,0,https://github.com/flutter/flutter/issues/56662
2024-02-14,flutter/flutter#57451,"[camera] startVideoRecording/stopVideoRecording() freezes the UI ",0,0,https://github.com/flutter/flutter/issues/57451
2024-02-14,flutter/flutter#59332,"Flutter Web: ListView lags a lot on mobile browsers, inconsistent performance on different devices on different browsers",0,0,https://github.com/flutter/flutter/issues/59332
2024-02-14,flutter/flutter#59969,"[macos] Transparent FlutterViewController",0,0,https://github.com/flutter/flutter/issues/59969
2024-02-14,flutter/flutter#60083,"google_maps is not drawing customized Polyline on iOS",0,0,https://github.com/flutter/flutter/issues/60083
2024-02-14,flutter/flutter#60911,"Google_maps_flutter KML support",0,0,https://github.com/flutter/flutter/issues/60911
2024-02-14,flutter/flutter#62265,"How to effectively implement a feed of Video Players in Flutter",0,0,https://github.com/flutter/flutter/issues/62265
2024-02-14,flutter/flutter#65504,"Ctrl+F support, finding text on a page (even when scrolled off screen)",0,0,https://github.com/flutter/flutter/issues/65504
2024-02-14,flutter/flutter#67090,"`flutter drive` options `-d` and `--browser-name` have confusing behavior",0,0,https://github.com/flutter/flutter/issues/67090
2024-02-14,flutter/flutter#73208,"Draggable feedback widget gets an offset when InteractiveViewer is scaled",0,0,https://github.com/flutter/flutter/issues/73208
2024-02-14,flutter/flutter#73260,"Installation on Alpine Linux container: unable to 'pub upgrade'",0,0,https://github.com/flutter/flutter/issues/73260
2024-02-14,flutter/flutter#73864,"NestedScrollView extreme scroll jank with BouncingScrollPhysics",0,0,https://github.com/flutter/flutter/issues/73864
2024-02-14,flutter/flutter#74255,"☂️ Proposal: desktop context menu fidelity",0,0,https://github.com/flutter/flutter/issues/74255
2024-02-14,flutter/flutter#77883,"Idea: match platform scrolling behavior with Flutter using HTML scrollable area",0,0,https://github.com/flutter/flutter/issues/77883
2024-02-14,flutter/flutter#79261,"package assets declared under dev_dependency shouldn't be included in release bundle",0,0,https://github.com/flutter/flutter/issues/79261
