id,title,start,end,total_reactions,total_comments,new_reactions,new_comments
[`flutter/flutter#119207`](https://github.com/flutter/flutter/issues/119207),"Unable receive Platform Channel calls in background isolates",2024-01-24,2024-02-06,37,15,1,0
[`flutter/flutter#58854`](https://github.com/flutter/flutter/issues/58854),"[video_player] Can't  Change HSL Video Quilty",2024-01-24,2024-02-06,35,17,1,0
[`flutter/flutter#41708`](https://github.com/flutter/flutter/issues/41708),"[camera] Add macOS support",2024-01-24,2024-02-06,36,16,1,0
[`flutter/flutter#51752`](https://github.com/flutter/flutter/issues/51752),"Reusing state logic is either too verbose or too difficult",2024-01-24,2024-02-06,273,518,1,0
[`flutter/flutter#40740`](https://github.com/flutter/flutter/issues/40740),"NestedScrollView's use of PrimaryScrollController breaks when there are multiple inner ScrollPositions",2024-01-24,2024-02-06,101,65,1,0
[`flutter/flutter#18636`](https://github.com/flutter/flutter/issues/18636),"ShadowBox inset attribute? Inner shadow",2024-01-24,2024-02-06,90,46,1,0
[`flutter/flutter#58145`](https://github.com/flutter/flutter/issues/58145),"3D Flutter Api Support",2024-01-24,2024-02-06,79,13,1,0
[`flutter/flutter#84957`](https://github.com/flutter/flutter/issues/84957),"[camera] Taking pictures is too slow on some devices",2024-01-24,2024-02-06,69,50,1,0
[`flutter/flutter#41710`](https://github.com/flutter/flutter/issues/41710),"[camera] Add Linux support",2024-01-24,2024-02-06,62,16,1,0
[`flutter/flutter#75588`](https://github.com/flutter/flutter/issues/75588),"Decoration for unselected tabs in TabBar",2024-01-24,2024-02-06,56,19,1,0
[`flutter/flutter#65006`](https://github.com/flutter/flutter/issues/65006),"[InteractiveViewer] ListView in InteractiveViewer doesn't zoom sometimes",2024-01-24,2024-02-06,34,22,1,0
[`flutter/flutter#89525`](https://github.com/flutter/flutter/issues/89525),"[camera] Proposal - Add support for optical image stabilization (OIS)",2024-01-27,2024-02-06,13,6,1,1
[`flutter/flutter#21594`](https://github.com/flutter/flutter/issues/21594),"Table > TableRow > TableCell colspan",2024-01-24,2024-02-06,243,41,1,0
[`flutter/flutter#139039`](https://github.com/flutter/flutter/issues/139039),"Samsung phones running Android 14 stops drawing platform views on resume",2024-01-24,2024-02-06,55,48,1,1
